driver_1,driver_1_points,driver_2,driver_2_points
Ayrton Senna,94,Alain Prost,105
Ayrton Senna,60,Alain Prost,81
Ayrton Senna,13,Stefan Johansson,3
Ayrton Senna,13,Johnny Cecotto,0
Ayrton Senna,13,Pierluigi Martini,0
Ayrton Senna,38,Elio de Angelis,33
Ayrton Senna,55,Johnny Dumfries,3
Ayrton Senna,57,Satoru Nakajima,7
Ayrton Senna,78,Gerhard Berger,43
Ayrton Senna,96,Gerhard Berger,43
Ayrton Senna,50,Gerhard Berger,49
Ayrton Senna,73,Michael Andretti,7
Ayrton Senna,73,Mika HÃ¤kkinen,4
Ayrton Senna,0,Damon Hill,91
Ayrton Senna,0,David Coulthard,14
Ayrton Senna,0,Nigel Mansell,13
